"Distribution x_1","Distribution x_2","DGP","Model","Effect Size Scenario","Transition","Model Type","Coefficient (true)","Coefficient (mean)","Coefficient (lower)","Coefficient (upper)","Bias (mean)","Bias (lower)","Bias (upper)","Coverage (mean)","Coverage (lower)","Coverage (upper)"
"Bernoulli(0.5)","Bernoulli(0.5)","MTS DGP","MTS PAM",NA,"Progression Interaction","$x_1$-only Model",0,-0.0580780666666667,-0.195325,0.0966824999999998,-0.0580780666666667,-0.195325,0.0966824999999998,0.825333333333333,0.805154417572161,0.844229380096435
"Bernoulli(0.5)","Bernoulli(0.5)","MTS DGP","MTS PAM",NA,"Progression Interaction","Full Model",0,-0.0005278,-0.1322525,0.1335625,-0.0005278,-0.1322525,0.1335625,0.951333333333333,0.939195139439147,0.961662119030306
"Bernoulli(0.5)","Bernoulli(0.5)","MTS DGP","STSS PAM","Large","Onset","$x_1$-only Model",0.6,0.5774044,0.495505,0.6545725,-0.0225956,-0.104495,0.0545725,0.92,0.892654535643648,0.942233880071166
"Bernoulli(0.5)","Bernoulli(0.5)","MTS DGP","STSS PAM","Large","Onset","Full Model",0.6,0.5996478,0.5225125,0.693385,-0.000352199999999978,-0.0774875,0.0933849999999999,0.946,0.922402531505063,0.964115740278066
"Bernoulli(0.5)","Bernoulli(0.5)","MTS DGP","STSS PAM","Large","Progression","$x_1$-only Model",0.6,0.5624496,0.43049,0.6911525,-0.0375504,-0.16951,0.0911524999999999,0.894,0.863647973514209,0.919585339579863
"Bernoulli(0.5)","Bernoulli(0.5)","MTS DGP","STSS PAM","Large","Progression","Full Model",0.6,0.605492,0.4771025,0.73426,0.00549200000000002,-0.1228975,0.13426,0.95,0.927072378349521,0.96738481985067
"Bernoulli(0.5)","Bernoulli(0.5)","MTS DGP","STSS PAM","Large","Progression Interaction","$x_1$-only Model",0,-0.014959,-0.15937,0.13411,-0.014959,-0.15937,0.13411,0.948,0.924733628969378,0.965754301917232
"Bernoulli(0.5)","Bernoulli(0.5)","MTS DGP","STSS PAM","Large","Progression Interaction","Full Model",0,0.005842,-0.15014,0.154525,0.005842,-0.15014,0.154525,0.95,0.927072378349521,0.96738481985067
"Bernoulli(0.5)","Bernoulli(0.5)","MTS DGP","STSS PAM","Medium","Onset","$x_1$-only Model",0.4,0.388306,0.3078025,0.473725,-0.011694,-0.0921975,0.073725,0.954,0.931774572118762,0.970619824607597
"Bernoulli(0.5)","Bernoulli(0.5)","MTS DGP","STSS PAM","Medium","Onset","Full Model",0.4,0.3981962,0.310885,0.4806575,-0.00180380000000002,-0.089115,0.0806575,0.954,0.931774572118762,0.970619824607597
"Bernoulli(0.5)","Bernoulli(0.5)","MTS DGP","STSS PAM","Medium","Progression","$x_1$-only Model",0.4,0.3892068,0.27535,0.4959575,-0.0107932,-0.12465,0.0959574999999999,0.946,0.922402531505063,0.964115740278066
"Bernoulli(0.5)","Bernoulli(0.5)","MTS DGP","STSS PAM","Medium","Progression","Full Model",0.4,0.3984912,0.27715,0.5199925,-0.00150880000000002,-0.12285,0.1199925,0.934,0.908557101389134,0.954136642889412
"Bernoulli(0.5)","Bernoulli(0.5)","MTS DGP","STSS PAM","Medium","Progression Interaction","$x_1$-only Model",0,0.0009004,-0.1344675,0.13513,0.0009004,-0.1344675,0.13513,0.962,0.941292709536771,0.976969229193752
"Bernoulli(0.5)","Bernoulli(0.5)","MTS DGP","STSS PAM","Medium","Progression Interaction","Full Model",0,0.0002948,-0.13232,0.1379725,0.0002948,-0.13232,0.1379725,0.96,0.938897390611755,0.975398687914455
"Bernoulli(0.5)","Bernoulli(0.5)","MTS DGP","STSS PAM","Small","Onset","$x_1$-only Model",0.2,0.1988996,0.1055925,0.2881625,-0.00110040000000001,-0.0944075,0.0881625,0.948,0.924733628969378,0.965754301917232
"Bernoulli(0.5)","Bernoulli(0.5)","MTS DGP","STSS PAM","Small","Onset","Full Model",0.2,0.2040342,0.1063625,0.2984675,0.00403419999999999,-0.0936375,0.0984675,0.94,0.9154514462924,0.959155818237223
"Bernoulli(0.5)","Bernoulli(0.5)","MTS DGP","STSS PAM","Small","Progression","$x_1$-only Model",0.2,0.1972778,0.069255,0.3202325,-0.00272220000000001,-0.130745,0.1202325,0.944,0.92007869939564,0.962469555524978
"Bernoulli(0.5)","Bernoulli(0.5)","MTS DGP","STSS PAM","Small","Progression","Full Model",0.2,0.1996346,0.0779225,0.315915,-0.000365400000000011,-0.1220775,0.115915,0.962,0.941292709536771,0.976969229193752
"Bernoulli(0.5)","Bernoulli(0.5)","MTS DGP","STSS PAM","Small","Progression Interaction","$x_1$-only Model",0,-0.0016232,-0.1395175,0.1571,-0.0016232,-0.1395175,0.1571,0.95,0.927072378349521,0.96738481985067
"Bernoulli(0.5)","Bernoulli(0.5)","MTS DGP","STSS PAM","Small","Progression Interaction","Full Model",0,-0.0043984,-0.1651425,0.152805,-0.0043984,-0.1651425,0.152805,0.944,0.92007869939564,0.962469555524978
"Bernoulli(0.5)","Bernoulli(0.5)","MTS DGP","STSS PAM",NA,"Onset","$x_1$-only Model",1,0.701875066666667,0.4230175,0.935305,-0.0647916,-0.1780525,0.0557649999999997,0.582666666666667,0.557236839952094,0.607772174918614
"Bernoulli(0.5)","Bernoulli(0.5)","MTS DGP","STSS PAM",NA,"Onset","Full Model",1,0.766073333333333,0.4359475,1.0550875,-0.000593333333333349,-0.0850525000000001,0.0833525,0.932666666666667,0.918783419827774,0.944824565146166
"Bernoulli(0.5)","Bernoulli(0.5)","MTS DGP","STSS PAM",NA,"Progression","$x_1$-only Model",1,0.644760733333333,0.3896075,0.868315,-0.121905933333333,-0.2865675,0.053205,0.408,0.382996460360052,0.433364495545376
"Bernoulli(0.5)","Bernoulli(0.5)","MTS DGP","STSS PAM",NA,"Progression","Full Model",1,0.7625188,0.4216925,1.0822825,-0.00414786666666668,-0.1097525,0.0993575,0.954666666666667,0.942880432043186,0.964627787627074
